source,rss_url,category
RideApart,https://www.rideapart.com/rss/articles/all/,News/Lifestyle
Motorcycle Daily,https://www.motorcycledaily.com/feed/,News/Reviews
Women Riders Now,https://womenridersnow.com/feed/,Community
THE PACK,https://thepack.news/feed/,Electric Motorcycles
BikeSport News (UK),https://bikesportnews.com/feed/,Racing
Superbike News (UK),https://superbike-news.co.uk/feed/,Racing
Roadracing World,https://www.roadracingworld.com/feed/,Racing
MotoGP News (UK),https://motogpnews.com/feed/,MotoGP
Crash RoadRacing (UK),https://www.crash.net/rss/road-racing,Racing
Crash British Superbikes (UK),https://www.crash.net/rss/bsb,Racing
Adventure Motorcycle Magazine,https://adventuremotorcycle.com/rss/adventure-motorcycle-all-content-rss-feed,Adventure/Touring
Bike EXIF,https://www.bikeexif.com/feed,Custom Bikes
Pipeburn,https://pipeburn.com/feed/,Cafe Racers
Ultimate Motorcycling,https://ultimatemotorcycling.com/feed/,Reviews
webBikeWorld,https://www.webbikeworld.com/feed/,Gear
Motorcycle Sports,https://motorcyclesports.net/category/motorcycle-news/feed/,Racing
MoreBikes (UK),https://www.morebikes.co.uk/feed/,UK Motorcycle News
Halfords Motorcycle Blog (UK),https://blog.halfords.com/category/motoring/motorcycle/feed/,Gear
Classic Motorcycle (UK),https://www.classicmotorcycle.co.uk/category/news/feed/,Classic Bikes
Adventure Bike Rider (UK),https://www.adventurebikerider.com/feed/,Adventure/Touring
Rider Magazine,https://ridermagazine.com/feed/,News/Reviews
Lone Rider,https://lonerider.com/blogs/loneriderblog.atom,Motorcycle Gear
Cardo Systems,https://cardosystems.com/blogs/cardo-blog.atom,Gear
High Note Performance,https://cardosystems.com/blogs/cardo-blog.atom,News/Lifestyle
Motorcycle News (MCN)(UK),https://rss.app/feeds/yj27BKx6HQHNyKcB.xml,Motorcycle News
Visordown (UK),https://rss.app/feeds/R7CsLkS1W9DUyVrD.xml,Motorcycle News
British Motorcyclists Federation (UK),https://rss.app/feeds/CjmNmq33nitsojPl.xml,General
Renchlist (UK),https://rss.app/feeds/0soV6e2h9KaXsQd7.xml,General
Saffy Sprocket (UK),https://rss.app/feeds/2UI6GOzbY3Qa8ZK2.xml,General
